,comments
2928,@Asia lives matter 재미없으면 호응 못하지
2929,호응하는데 돈들고 엄청난 애너지가 드나? 뭐가 호응하기 조금 그래? 호응 안하는데 기본적 상식 예의도 없고 무식 하고 저렴한 생각이지
2930,김영희는 개그맨이라서 무시당하는거 아닌거 같은데 ㅋㅋ.
2931,저런것들도 유재석 앞에서는 예의 차리고 설설 기고 하겠지... 정작 대한민국에서 남녀노소 불문하고 인기 제일 많은 건 개그맨 유재석임. 근데 유재석은 사람 무시 안하잖음 위치나 자리가 아니라 걍 개인 인성 차이지
2932,개그맨들 웃기는 직업이라고 사람 ㅈㄴ 우습게 보는데 인성좋은사람 훨씬많다. 티비에 개그맨 무대가 많아졌으면 좋겠다... 심형래님 1호가될수없다보면서 진짜... 눈물이..
2933,진짜 꼴 같지 않은 연예인들 많지...근데 연예인 뿐이겠냐...세상엔 꼴갑떠는 얘들 참 많다...똑같이 당해봐야 정신차리지ㅉㅉ
2934,지현우도 가수였는데. 더 넛츠.
2935,자세한걸 모르고 이렇게 본인피셜로 올리면 다들 오해하죠 지현우는 애초 가수출인이라 립싱크가수관련에 이야기를한거지 배우랑은 별게이고 개그맨분도 어린배우가 막말하는거 본인이 지어낸이야기라고 재차 사과도 했었는데 이채널은 억까가심하네요
2936,"80~90년대 아날로그 음반시대때는 가수&gt;&gt;&gt;배우 였고(조용필,서태지에서 이미끝남) 디지털시대로 넘어오고 음반이 몰락하고 음원이 주류가되며 영화1000만시대가 도래하면서 가수&lt;&lt;배우 로 슬슬 바뀌기시작. 실제로 해외시장을 가장먼저뚫은건 nrg나 보아등 극초창기 가수들이였는데 이들보다 그후 욘사마(배용준)이나 한류사대천왕(이병헌 원빈 배용준 장동건)이 그덕을보고 더 높이올라섰음. <br><br>이랬던게 디지털시대가 점차 더 안착되고 기존 동아시아권에서만 놀던(사실상 우물안의개구리수준) 배우들과 달리 싸이가 전세계적으로 단기적이긴하지만 넘사벽급 임팩트를 터뜨린후에 슬슬 다시 반전되기시작(힐링캠프 이병헌편에서 이병헌과 싸이스토리를 보면 얼핏 엿볼수있음)<br><br>박지성 김연아등의 국대운동선수들 제외하고 이후 대한민국 전국민의 압도적 지지를 받는 유재석의 성역이미지구축이 비로소 빛을발하고 실상 유재석자체가 자기스스로를 낮춰서그렇지 모든배우들은 유재석앞에 명함도 내밀지 못할수준이 되어버림<br><br>이후 블핑 BTS가 서구쪽에서도 대파란을 일으키며 그야말로 전세계적으로 놀기시작했고 지금은 다시 가수의 위상이 배우를 앞질렀고 이는 현재도 진행형임<br>거기에 BTS 블핑을 제외하고도 모든분야에서 레전드를 향해달려가는 아이유가 무섭게 크면서 실상 파급력 유명세 다따져봐도 현재 아이유앞에 명함내밀 배우가 몇이나 될까 손가락으로 세어야할정도...<br><br>해외는 이미 먼옛날부터 가수&gt;&gt;&gt;넘사벽&gt;&gt;&gt;&gt;배우였고 그건 지금도 마찬가지임. 우리나라가 유독 조선시대부터 내려온 선비꼰대사상이 아직도 많이 남아있어서 그렇지 해외(사실상 서구쪽이라봐도무방, 영화나 대중음악 대부분이 서구쪽으로부터 유입된게사실이니까)는 단한번도 배우의 위상이 가수앞에 선적이 없었음<br><br>보통 세계 대중음악역사에 가장큰파급력을 끼친셋을 비틀즈,마잭,엘비스 이렇게 꼽는데 이중 상대적으로 엘비스의 영향력이 앞의 둘에비해 쫌 딸림에도 엘비스앞에조차 내세울수있는 배우가 없음. <br>마잭,비틀즈까지가면 게임 끝난수준임. 마릴린먼로?? 알파치노?? 다 택도없음, 그냥 다른차원의 영역임. <br><br>그냥 가수vs배우 재산으로만봐도 주식보유포함 수천억대의 재산에 현재 플레이어로 활동중인 박진영미만 다 잡이고, 광고료역시 BTS미만으로 그냥 한국광고료역사다통틀어서 모든연예인이 다잡임. 1년전 떠돌던 BTS의 광고료가 30억이였고 지금은 당연히 더 올랐겠지. 우리나라 저런 영화시상식등에 자꾸 가수들불러서 들러리세우고 하는데 그짓좀 그만했으면좋겠다제발.... <br>디지털시대 들어서 잠깐 배우의위상이 가수를 앞질렀지만 그때잠깐뿐이였고 지금은 다시 배우&lt;&lt;&lt;&lt;넘사벽&lt;&lt;&lt;&lt;가수가 맞음(물론 탑급끼리 비교했을때)<br><br>유재석 단하나의 존재로 인해서 배우는 개그맨의 위상조차넘을수가없음(이역시 평균치말고 탑급끼리의 비교, 실상 유재석하나로 모두종결)<br><br>그러니 계속 가수들불러다가 들러리세울거면 이제 그놈의 선비마인드좀 고쳤으면좋겠다."
2937,ㅎㅎ 개그맨이 정직하고 깨끗한 희극배우지  그냥 배우들은 스폰서에게 성접대를 해야하는 제1의 화류계란다 더럽고 추악한 직업이지
2938,누구를 위한 축제인가??
2939,연예인들끼리 급 나누고 뻗대니까 그 팬들도 지들이 뭐라도 된 것처럼 또 팬들끼리의 계급을 나눔ㅋㅋ
2940,김영희 개그우먼한테 막말한 배우 못배운티...난
2941,와 .. 그럼 그때당시 영화제에서 마마무가 축하공연했을 때 배우들 반응이 레전드였던거네
2942,개그맨들이 제일 똑똑한디..
2943,"돈도 아이돌이 더 잘 벌고, 팬들도 더 많으며, 아이돌들한테 밥그릇 까지 뺏기고 있음. 질투할만 하다고 생각함."
2944,해당배우들 다 찾아네자! 누구냐?
2945,ㅆㅇㅈ임 배우들 시상식에서 아이돌이 뭐 무슨 노래를 부르면 표정 개썩었던데 보는 내가 다 민망함;;; 표정이 무슨 똥씹은거 마냥 😕🙁이러던데
2946,그래서 김혜수님이 너무 대단함. 같이 즐기려고 시상식에서 일어나서 춤도 추고 환호도 해주시고.. 덕분에 호평도 많이 받으니 다른 배우들도 점점 바뀌어 가는 듯.
2947,@한다경 후배들은 선배 눈치봐서 호응못한거겠죠
2948,@김준호 인성좋아서 논문표절? 배우 본인이 석사 학위를 반납한다고 했는데 현재 대한민국에는 심의를 거쳐 부정으로 인정되어 취소가 되지 않는 이상 스스로 학위를 반납할 수 있는 제도가 없다는게 팩트.
2949,@크고 굵고 탱탱하고 하늘로 솟은 A급 그 대중상 그때 소시는 완전 라이브 그 자체던데....
2950,원래 다른 배우들과 똑같았었는데<br>논란 이후에 바뀐거임
2951,@김영훈 가수는 뭐 비교적 괜찮아 졌는데 개그맨 대우는 여전히 안좋죠
2952,"아무리 실력이 좋아도 인성 줘터진 연예인들 좀 안 나왔으면 좋겠다;; 직업에 귀천이 어딨다고 무시함? 아이돌이나, 리포터 무시하는 배우들은 무조건 지들이 하찮다고 생각하는 직업 다 무시하는 거 아님? 그러고선 철판깔고 tv에 출연하니 참..."
2953,주제에 꼴갑들을 하는구만~<br>배우나부랭이들이..
2954,"우리나라 최상 연예인 꼽으라면 유재석, 강호동인데 개그맨 출신.."
2955,@Mr. Goo ㅋㅋ 아재요 잘 모르면 저짝 저수지 쳐박혀서 낚시나하세요 세무사 실수라고 밝혀진지가 언젠데 깔꺼면 잘 알아보시고 까세요ㅋㅋ
2956,@Mr. Goo 정부에서 강호동 탈세는 세무사 실수라서 무죄라고 밝혔잖아; 억울하게 누명쓰고 강호동씨는 다 자기가 뒤집어쓰고 조용히 잠정 은퇴하다 온거임. 밝혀진게 언젠데 아직도 이러고 있냐?
2957,유느님이 원탑임
2958,@Mr. Goo 제발... 그거 아니라고 밝혀졌잖아... 언제적 얘기냐
2959,@Mr. Goo 좀 모르고 씨부리지좀 마세요 진짜 안쪽팔리세요? 되게 생각없어보여요;;
2960,괜히 배우가 배슬 소리듣는게 아니지ㅋㅋ
2961,아이돌 무시하다 BTS 같이돼면 전세계팬들한테 귀싸데기 한대씩만 맞아도 얼굴없어져
2962,안경
2963,김영희가 한짓은
2964,배우도 딴따라.... 광대지!!
2965,배우도 딴따라야...
2966,솔직히 방송계 탑은 유재석이고 영화계탑은 봉준호 감독이고 한류의 탑은 방탄이잖아 여기 어디 배우가 있남 내년 마마에선 가요계의대선배가 수상해주길바란다 조용필씨 임재범씨 박효신씨 이런분들 배우말고 가요계 대선배분들을 섭외했음 좋겠는데
2967,지현우는 가수였고 밴드기때문에.그런입장으로 말한거지 .연기자입장이아니러
2968,마마때 진짜 난리났었는데..ㅋㅋㅋ 특히 뒤 쪽에 나오는 가수분들 팬들은 더 난리였지 진짜 어이없어서ㅋㅋㅋ
2969,배우병 걸린것들 천지 ㅋㅋ
2970,과면 배우들만 무시할까? 어떤 분야든 싸가지 없는 사람들은 다 까내리고 자기보다 낮다고 생각합니다
2971,일반인 입장에서 보면 가수나 배우나 거기서 거긴데 왜 지들끼리 급나누고 그럼?ㅋㅋㅋ<br>연기하고 노래하는거 둘다 예체능인데 <br>뭐가 더 낫고 뭐가 더 저급하다 이런게 어딨어ㅋㅋㅋ <br>그렇게 따지면 회사 다니면서 나라 발전에 기여하는 사람들은 배우들도 무시해도 되는거냐?<br>진짜 각자 다른 분야에 종사하고 그 분야에 탑 먹은 애들이 모이는건데 진짜 싸가지도 없게 대한다
2972,솔직히 예능에서 배우들이랑 가수들 같이 나오면 가수들은 노래라도 잘해서 노래 한곡씩 뽑는데 배우들은 옆에서 보고만 있음<br>그런거 볼때마다 난 가수들이 더 멋지던데
2973,배우병 진짜로 존재함 자기가 연기하는 캐릭터가 자기리고 착각하는 공주왕자들
2974,배우들이라 다들 도도한척 연기중.
2975,사람은 귀천이 없다.인격에 귀천이 있을뿐
2976,이말이 정답.
2977,TOP.2 에서 남자 배우들이 굳은 표정하고 무대 보는 건 남자가 여자를 웃으면서 보면 뭐라고 하는 사람들도 있으니까 그렇다 쳐도 짜증난 표정은 도무지 이해가 안 가고 또 박수 안 쳐주는 건 진짜 너무했다 무례함
2978,"@MP28 저렇게 생각하는 사람도 있으니까 조금은, 아주 조금은 이해를 해보자 하는 생각도 있어서 저렇게 썼고 나도 당연히 저 행동은 이해 안감. 그리고 여자 배우들도 굳은 표정으로 보고 있는 것도 무례한 거 맞지 무례함 그냥 뭐가 더 무례한 행동인지 생각하려고 그랬음"
2979,"그것도 남,여라고 하기엔,,  그냥 사람 바이 사람이지"
2980,뭔 소리야 그전에도 배우들 말고 다른 연예인 남자들은 다 웃으면서 봤는데. 그리고 여자 배우들도 굳은 표정으로 보고 있는데
2981,배우들은  작가들 대본에 의해 좌지우지되는 건데 창의성을 요하는<br>개그맨들 왜 무시하는지 모르겠다.<br>개그맨들이 더 우수한 두뇌들 많다.
2982,이건 아닌듯;
2983,시나리오에 있는대사를 말하는 방식이나 구체적인캐릭터는 전부 배우의 창의력으로 만들어내는겁니다.<br>이런 말역시 배우를 무시하는 말이 될 수 있어요..
2984,"그래도 가수들은 유명하지 않아도 노래만 잘하면 인정을 받는데 코미디언은 솔직히 연예인이 아니라는 인식도 많이받고,코미디언은 좀 별로다 저런걸 왜 하냐라는 인식을 많이 받는데 코미디언 쉽지 않습니다 코미디언 그 몇십분의 시간 딱 맞춰서 재미있게 짜야되는데 거기에서 의견이 안 맞고 충돌 할 수도 있죠<br>가수들은 안 유명해도 노래만 잘부르면 인정을 받지만 코미디언은 유명하지 않으면 그 사람은 거의 없는 사람처럼 생각하더라구요 <br>어쨌든 배우들도 힘들겠지만 연예인들은 다 힘듦겁니다 연예인들 다 존중해주시고,다 좋아해주세요"
2985,"참나... 한심하네. 영화배우래봐야 빨갱이들 장단에 놀아나는 무뇌아들이고 무엇보다 연예산업의 중심축이 영화, 드라마 배우들에서 아이돌들로 넘어간지가 벌써 10년이 다 되어가는데... 특히 여배우들은 나이든 80년대생 아줌마들 아니면 젊은 여배우들은 걸그룹들에게 인지도 외모 인기 모든면에서 다 딸리는데... 주제 파악을 못하고. <br>사실 옛날에도 영화배우들은 tv 배우들에게 모든 면에서 딸렸지만 지가 잘났다는 자존심 하나만 갖고 살았지. 진짜 영화배우가 목에 힘줘도 그럴 만했던 시기는 1950-60년대 이 시기다. 즉 신성일 엄앵란 시기지. 이때는 서울 시민들이 일주일에 1편씩 영화를 보는 사람이 전체의 50% 가까이 될 정도로 라디오와 영화가 거의 유일한 미디어였기때문에 영화배우의 영향력이 절대적이었지. 그 이후로는 뭐... tv 나오면서 탤런트들에게 발리고... 요즘에는 아이돌들에게 발리고... <br>한줄요약: 배우들 주제 파악하고 정신 차려라."
2986,"❗잠깐 스크롤을 멈추세요❗<br><br>저는 안구 건강 담당 부경찰입니다.<br><br>지금 당장 눈을 감고 시계방향으로 한 번,<br>반시계방향으로 한 번 눈을 굴리십시오.<br><br>그런 다음 눈을 세 번 이상 깜빡이세요!<br><br>다 하셨다면, 지나가셔도 좋습니다.😄😄"
2987,배우&amp;가수 .개그먼...  등등   똑같음 ㅋㅋ <br>옛날분 눈에 다 딴따라  <br>나 팬은 아님  그냥 코드  맞으면 듣음<br>방탄.빅스.박효신 .. <br>배우(  사회 악 빼구 드라마가 재미 있으면 봄
2988,헐 처음알았네...
2989,이런거 보면 조선시대에 양반 천민 급나누는건 어찌보면 인간본성인듯 인간은 본능적으로 자기보다 못났다고 생각하는 사람보면서 위로를 받고 그사람을 무시하고 깔보길 좋아함
2990,외제차 타면 무시 안 당한다? 마인드가 무시당할 마인드네. ㅉㅉ
2991,연기잘하는 극소수 배우만 빼고 다쩌리 불노소득자라생각한다! 개나걸이나하는게연기아니냐? 진짜 연기자라면 연극무대3년은 걸져야 연기자라생각한다. 얼굴도지얼굴아닌것들도 많지
2992,석훈이저자식이  소시가뭐대단해? 이문세나 진짜가수가나왓으면 리액션다나오지
2993,배우가문제가 아닌 그사람의 인성이 문제라고 본다
2994,이슈피디 썸네일은 왜 그따구로 만드세요? 썸네일 속 배우들이 격떨어지는 딴따라들이라고 직접 언급했나요?
2995,소시 모 멤버들이 과거에 인터뷰하러 들어온 여자 개그우먼 무시한 걸로 구설 올랐는데...도긴개긴임
2996,뇌피셜ㅡㅡ
2997,다같은 딴따라들이 지들끼리 급을나누놐ㅋㅋㅋㅋㅋㅋ
2998,마마에서 방탄도 주차장 대우 받은거임?
2999,배우들이 무시하다 걸리면 좆되는 연예인 2명<br><br><br><br>유재석 방탄소년단
3000,시청자 입장에서 연예인은 다 똑같은 사람이고 가수가 딴따라면 배우는 광대지 지들만의 리그하고 자빠졌네
3001,벤츠 탄다고 무시하지 않을까요?
3002,배우는  각설이가 배우인데
3003,자본주의 사회에서 급 나누는게 제일 의미없는데 정말 역겹다
3004,우리나라에서 제일 급 높은 사람 골르라 하면 난 설직히 유재석이랑 BTS다
3005,"솔직히 배우들은 재미 1도 없는 사람도 많아서 얼굴만 알고 이름 모르는 사람 많고 , 개그맨이나 예능 많이 나오는 사람들이 더 유명 할텐데...<br>배우들이 품격이 있어보이긴 하지.<br>그렇다고 사람 무시하는 건 진짜 보는 사람도 못마땅해 하는 행동인데"
3006,하긴 밥벌어먹고 살기는 남 뒷담이나 까먹는게 최고지 암 연예인이라던가..
3007,그게무슨전문가직업들인가?돈만히벌고등급나누면뭐해<br>사회밖은완전깜깜이들인데<br>사기나당하고<br>무슨귀족처럼무슨가우잡는것도아니고
3008,개그맨들은 아무래도 격떨어진다..개주접떠는거 꼴보기싫음..
3009,모든 개그맨 배우 가수분들이 힘든 직업이고 저 자리까지 올라가기 위해 많은 노력을 하셨을텐데 알게 모르게 급이 나눠진다고 생각하니 마음이 아프네요 ㅠㅠㅠㅠ 진짜 다들 자신의 직업분야에서 만큼은 자신있을텐데 다른 사람들에게 무시를 받지 않았으면 좋겠네요 근데 마마는 진짜 속상하네요 ㅠㅠ 정작 마마 무대를 꾸며야 할 가수들은 차에서 대기하고 시상하러 온 배우들은 실내에서 대기했다니 저로썬 어떤 부분에서 봐도 이해가 정말 안되네요
3010,존나 이건 뭐냐<br>안경벗어라
3011,배우들은 양반이고 나머진 천것들이냐? 교만에 가득 찼네. 시청자 없음 아무것도 아닌  사람들 아닌가. 거만함좀 버리시죠 다들
3012,배우들은 양반이고 나머진 천것들이냐? 교만에 가득 찼네. 시청자 없음 아무것도 아닌  사람들 아닌가. 거만함좀 버리시죠 다들
3013,본인한테 어떤 기만이 잠재되어있는지는 모르겠는데 은근 나이 잔잔히 드시고 다른 직업을 가진 사람한테 그렇게 대우하는게 쪽팔리지도 않는건가ㅋㅋㅋㅋ..직업에는 귀천이 없고 애초에 저런 유치하고 무식한 일부 배우들의 태도는 사람한테의 기본적인 예의가 아니라는걸 모른다는게 신기하다
3014,아무리 잘나가는 배우라도 개그맨 유재석 앞에서는 아무말 못하지
3015,아니 ㅋㅋㅋㅋ 가수랑 개그맨은 그냥 딴따라 맞자나 아니야?
3016,진짜 아직도 그 충격을 잊을 수가 없음. 2010년도 시상식은 진짜 ㅋㅋㅋㅋ 가족들이랑 같이 보고 있었는데 먹던 사과 티비 향해서 던져버림. 아 차라리 나를 초대해주지;; 돈 내고도 가고싶다 진심 ;;; 진짜 리액션 잘해줄 수 있는데 비싼 돈 들이면서까지 사람들 앉혀놓고 굳은 표정 하는 걸 보는 시청자의 입장으로서 진짜 기가 막혔음 ㅋㅋㅋㅋㅋㅋ
3017,아 물론 우리 가족도 같이 사과 던져버림
3018,시끼들 장동건만 같아라
3019,무시하는게아니라 나이 연령층이 있는사람들과 있어서 과묵한거같은데?<br>왜 다들 있잖아 선생님이나 나이드신분들이랑 함께하는자리는 어렵고  진중한거 그런 느낌이지
3020,ㅡㅡ 다시보게 되네. 배우들 재수없다. 지들이 얼마나 시청자들한테 자주 보인다고. 개그맨들이나 가수들이 국민배우지. 배우들 정신차려라
3021,그래봤자 다 딴따라
3022,배슬아치
3023,광대들이 광대짓 잘 했다고 상 주는 자리에 광대들이 나와서 흔들어대니 가여워서 그런거임ㅋㅋ다들 똑같은 광대짓해서 돈 버는 애들이지 뭐
3024,직업에 대한 이해가 없으신건지.. 그 노력들을 싸잡아서 광대라고 부르다니..참.. 적어도 그 사람들을 광대라고 무시하는 당신보단 멋지고 훌륭한 사람들이 넘쳐납니다 정신차리세요
3025,말하시는분 콧구멍때문에 집중이 안된다
3026,@Ha Haha 아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ이댓글 없어서 나만 그런가 했다 진짜..
3027,ㅋㅋㅋㅋㅋ아 나만이런줊
3028,편집자님 간간히가 아니라 간간이 입니다
3029,배우도 어차피 얼굴팔아먹고사는 놈들인데 무슨 ㅋㅋㄱㅋㄱㅋㅋㅋㅋ 계급을따져 ㅋㄱㄱㅋㅋㅋㅋㅋㅋㅋ
3030,근데 솔직히 ㅋㅋ..<br>방탄 뷔 vs 탑급 배우 <br>다시 태어날 수 있으면 탑급 배우 선택할 듯
3031,사실상 수입은 가수 -&gt; 연기자 -&gt; 개그맨 임
3032,소녀시대 훗은 저때가 활동 초반이었고 너무 홍보티나서  민망하긴했음 근데 배우들  고자세는 더 민망했지
3033,ㅋㅋㅋㅋㅋㅋ 딴따라? 지들도 결국 관심받고 올라간고 아닌가? 아이돌 개그맨이 딴따라면 배우는 뭐 광대냐?
3034,쳐맞으려고?
3035,저기서 이제 유재석 딱 등판해서 박수라도 쳐주시죠 하면 ㅋㅋㅋ ㄹㅇ 참교육
3036,외국 시상식을 좀 본받아라 그 대단한 배우들도<br>자기들끼리 즐기고 유쾌하게 시상식을 만들려한다.<br>느그들이 좋아하는 급으로 따지면 걔네들이 훨씬더 높지 않냐?
3037,솔직히 가수나 개그맨에 비해서 배우들이 뭐 그리 잘났다고 ㅋㅋㅋ
3038,배우들 지들이 잘난줄 알아ㅋㅋ
3039,이건 자본주의 사회에서 어쩔수 없는거 남들보다 더 벌라고 하는게 결국 남보다 위에 서고싶은거 아님?
3040,세상이 변하지 않았나요.. 한 5년 전까지는 그런게 있었던거 같은데 지금은 그런 선들이 많이 희미해졌다고 생각하는데... 내가 변한건가?
3041,배우병 심각하다니까....
3042,팔리지도 않는 배우들이 ㅋㅋㅋ
3043,오상진 아나운서 무시한 그 연예인은 누굴까요?
3044,어짜피 뒤지면다 똑같은데 살아서 급나누는게 더웃김ㅋㅋㅋㅋㅋ
3045,난 배우 중에 송강호 황정민이<br>제일 좋더라.
3046,다 똑같지. 모두 대중의 인기를 얻어야하는 사람들 아닌가. 개그맨이나 배우나.  누구는 뱃속에서 스무달이라도 있었나?. 급을 나누는 사람들이야말로 하급중의 하급. 인간이 덜 된거지.
3047,지금은 저런거없고 유투버 vs 연예인이지  요즘 배우들은 일없어서 개털임 ㅋㅋㅋㅋㅋ 극장 코로나직격탄맞았거든
3048,이래서 어떤직업을 가지던 배워야해ㅋㅋ 무식하고 교양 없으니 저따위 행동을 하지 ㅋㅋ
3049,인간성 드러운 것들이 많다고 들었다.  촬영도중 맘에 안든다고 집으로 가질 않나?  매번 지각하고 시간을 잘 지키기를 하나? 의상 협찬받은 것들을 더럽히질 않나? 자기거 인양 가지고 가질 않나?  의상 맞춘 돈을 제대로 주길하나?  말 한마디가 싸가지가 바가지이질 않나? 위아래도 없는 거만함이 하늘을 찌르질 않나? 나이많은 후배를 자기 하수인양  막대하질 않나? 처음 부터 끝까지 반말튀겨먹질 않나? <br><br>그러다 인기없어지면 끝장인데 말이지.  없이 살다가 잘 나가니 뵈는게 없는거지.  잘 나갈 때 겸손하면 급이 더 올라갈텐데~~ 올라갈 때가 있으면 떨어질 때가 있고  낮은 곳이 있으면 올라갈 때가 있는 법이다.  벼도 익으면 고개 숙인다고 못들어 봤냐?  거만해서 자기에게 얻어지는 게 뭔지도 모르는 인간이지. 그래서 나오는 소리가 얼굴이 예쁘면 머리가 비었다는 말이 나오는 거다. 대사 외우는 것도 오래 걸리는...그들이 누구인지는 거의 알지 소문이 파다해서..
3050,소녀시대  등 아이돌 좋아하는게 이해가 안된다<br>노래는 일반인보다 못하고 춤을 잘추는것도 아니다 춤도 개인적으로 댄서와 추면 경쟁이 안된다 얼굴도 배우에 뒤지고 그냥 몸매되는 어린애들 섹스어필로 안무익혀 내보내다 잠깐인기후 사라지는 존재들
3051,본인이 이해 안된다고 무작정 폄하하면 안되죠~ 아이돌들도 전부 다 몇년씩 연습생 생활을 거쳐 노력해서 이뤄낸 데뷔입니다. 뭐가 당신을 그렇게 불편하게 했는지 모르겠으나 당신같은 사람들 때문에 고통받는 연예인들이 무력감과 우울감에 삶을 포기하는 경우가 생기는거 아니겠어요? 무턱대고 무시하지 마시고 존중하려 해주세요
3052,김영희는 하대받을만한데 왜 ㅋㅋ
3053,배우가 몸을 지배했네
3054,직업떠나서 무시하는 분들이 분수 모르는거죠 연예인이 일반인 무시해도 안되고 일반인도 그렇고.. <br>오히려 일반인들이 자기좋아하는 연예인 아님 코앞에서도 개무시하고 핸드폰 보기 바쁘거나 앞담화 제대로하던데<br>그걸 보고 아무렇지 않게 공연하거나 연기하기 불편할까 싶어요<br>사람 대 사람으로 서로 대했음 좋겠어요
3055,그런식이면<br>일반인이 보기에는<br>전부 광대 딴따라들
3056,탤런트라고 부르다가 갑자기 어느 순간부터 배우라는 말이 더 대중화되니까 더 콧대 높아진 느낌... 다들 배우님 배우님 하는 것도 개인적으로 노이해임 ㅠ ㅇㅇㅇ 가수님 ㅇㅇㅇ 개그맨님 이런말은 잘 못들어봄
3057,솔직히 예능같은곳에서 개그맨들이 게스트 우대하는건 존중하는데 가끔보면 좀 유명한 배우가 나오면 본인들 낮추면서 상대를 과하게 대접함 무슨 신처럼 대한다 해야하나 그러지 말았으면 좋겠음
3058,@권토중래 ㅋㅋㅋㅋㅋㅋ 존나 뭐만하면 여자는 어쩌고 남자는 어쩌고 성별가지고 존나 뭐만 하면 싸움질이야 ^^ㅣ발
3059,@권토중래 누가 신처럼 받들지??? 반대겠지 남자들 지들 스스로 하늘이라하고 꿀빤게 얼만데 웃기네 ㅋㅋ대우하라 대접하라 강요하고 ㅋㅋㅋ여잔테는<br>함 빨아볼라고 설설기는 거겠지 그꼴을 보기싫음 안 기면됨
3060,"예전에 해투에서 이영자랑 개그맨들만 게스트로 나온 편에서 개그맨들만 나와서 얼마나 편하냐, 배우 나오면 걔 띄워주고 별로 예쁘지도 않은데 예쁘다 예쁘다 해주고 우린 웃겨주고 그래야 하는데 개그맨만 게스트로 나와서 얼마나 좋냐고 그랬지. 그 김영철의 ‘제가 지방흡입을..’ 레전드 편임."
3061,@권토중래  ?? 신처럼 떠받든다고? 누가? 그런 놈이 이써???? 도랐는데?ㅋㅋㅋㅋㅋㅋㅋ 여자고 남자고 간에 신처럼 떠받드는 인간이라면 당연히 그쪽이 개무시당하는거임ㅋㅋ 세상살이 그건 당연한거고 얄팍하게도 돌려까네 말같잖은 소리를ㅋㅋㅋㅋㅋ
3062,@권토중래 ㅋㅋㅋㅋ어디가서 여자한테 뺨이라도 맞았나봐요
3063,같은 딴따라에 스폰받는 것들끼리 왜 그럼?
3064,딴따라라고 표현하는 자체가 <br>무식한 시대에 뒤떨어지는 표현이다
3065,배우나 가수나 자기들 재주 파는거구만  참 들떨어지는것들
3066,일반인들에겐 가수나 배우나....다 똑같은 딴따라다....
3067,배우들이 계급나누기는 제일심함 솔직히<br>잘모를뿐이지 솔직히 제일심할듯싶음<br>연말시상식만봐도 티많이남<br>개그맨 가수들은 티비에자주나와서<br>친숙하고 뭔가 다가가기편한데<br>배우들은 영화 몇편으로만나오니<br>분위기잡으면서 난 너희랑급이달라<br>이런표정짓는데 물론아닌배우들도있지<br>근데 꼭보면 엄청유명하지도않고<br>그렇다고 안유명하지도않은 애매한애들이 그러더라. 그나마 개그맨이나 가수가<br>방송계선배이거나 나이가좀더많으면 좀덜하지<br>자기보다 나이어리고 데뷔도늦어봐<br>더무시하지 물론 가수나 개그계쪽도 아예없는건아니겠지만 유독배우쪽이심함
3068,외제차같이 보여지는 것으로 자기를 치장하듯이 남자 개그맨들 대부분 완전 미녀랑만 결혼하려는것도 좀 보상심리 있다고 생각함.
3069,나도 아이돌은 별로.. 가수 같지 않기는해 ㅇㅇ
3070,김영희가 왜 나오냐.. 김영희 보고 경끼 할 사람 많다.
3071,진짜 영화제나 연기대상에 축하하러 바쁜 스케쥴 하다가 시간내서 왔는데 그냥 박수정도나 웃어줄 순 있는데 앞에 아무것도 없는 것 마냥 똥씹은 표정으로 있고 하면 가수들은 물론 시청자도 민망해짐... 근데 도대체 왜 배우들 잡아주는 지도 모르겠음...
3072,"솔직히 급은 잘나가는 순서, 그로인해 버는 수입으로 급을  나눠야 자본주의 경제에 잘맞지. 배우&gt;가수&gt;개그맨? 이건아님. <br><br>자본주의 좋은게 예를들어 배우가 BTS보다 돈 못벌면 급이 안되는거임. 개그맨이 가수보다 잘벌면 배우가 한수접는게 정답이지<br><br>자본주의에선 돈을 잘버는게 급임. 어디서 직종으로 급을 나눔. ㅎ 모든게...돈으로 평가해야지.안그럼?<br><br>그리고 박수치고 환호해주는게 어려움? 인성이 중요한거임. 인기많은 찐들은 인성도 갑임. 인기없는 사람들이 꼭 따짐.이건 레알"
3073,남배우들 수준 ㅉㅉ
3074,노래가 들리고 춤추고 노래하면<br>꼭 박수치고 호응하고 박수쳐야하나?<br>꼭 배우가 아니더라도 힘들거나<br>피로하면 가만히 있을수도 있지 <br>뭔 고고한 척하기는 이야 ㅋㅋㅋㅋ<br>무례하기는 개뿔
3075,유느님은 개그맨 연애인을 뛰어넘음
3076,김영희는 개그우먼이라 하대 받은게 아니지 않을까...
3077,만약 방탄이 왔었어도 무게 잡고 있었을까?
3078,개그맨이 가장 똑똑하고 멋진거 인정하는 1인<br>물론 이히재 같은 재수없는 개그맨도 있긴 하지만<br>개그맨은 만능엔터테이너같음<br>연기 개그 춤 노래 센스 풀장착
3079,개그맨이나 개그우먼은 최고입니다<br>그들은 정말 순발력이 아주 뛰어나지요
3080,마마는 지디 안나올때부터 이미 안봤 ㅎㅋㅋ
3081,소시는 진짜 어이 탈출이넼ㅋㅋㅋ<br>저 당시 저기 있는 배우들보다 더 네임드였는뎈ㅋㅋ
