,0
219,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
220,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m57s"">0:57</a>~<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=1m07s"">1:07</a>~<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=1m16s"">1:16</a> 아무리 연기지만 그렇게 친구를 괴롭히는 건 서프라이즈가 아니지 <a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=1m21s"">1:21</a> 은비가 불쌍해 😭😭 <br>아무튼 학.폭  문제야(모든 범죄도 문제고)"
221,여러분 왕따는 나쁘니 하지맙시다!
222,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
223,왕따 시키는 애들도 짜증나는데 옆에서 불쌍해 이러는 애들도 짜증남;아니 도와줄 거 아니면 가만히라도 있던가..
224,아 그니까 도와줄 거 아니면 닥치고있어
225,시리즈의 이름은 무엇입니까?
226,@Şeyma okman Bir çevirmen kullanırken hatalar olabilir🙏
227,"@Şeyma okman Bu video, zorbalığa uğrayan bir öğrenciyle ilgili bir drama gibiydi, ancak sözler için üzgün olduğunu ve yardım etmeyen öğrencilerden nefret ettiğini söyledi."
228,ㅇㅈ 그런 애들이 제일 구림; 괜히 불쌍히 여겨서 도와주나 기대하게 만들고..ㅋㅋ
229,헐....
230,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
231,뒷정리는 누가 하냐...?ㅎ
232,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
233,은비 불상하다<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ<br>ㅣ
234,@김성한 네
235,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
236,사람 케이크라니 심한 일진들
237,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
238,Kasihan gadis itu😭😭😭😭😭😭😭😭😭
239,와 재밌따 완전 웃겨 사람에 케이크를 만드다니 ㅋㅋ
240,@김성한 나한테 와서 댓글 달아?
241,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
242,초하면 머리타 헐 축격
243,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!!
244,근데 이런 일이 진짜  일어남? 우리 땐  애들이 체인이나 빠루 들고다녀서 조금이라도 건들면 두개골 뿌시거나 휘발류 뿌려서 불태워 죽였는데
245,하....왕ㄸㅏ가 내 이름이어서 짜증난ㄷ r.......
246,왕따폭력하면처벌되니다
247,Bulling in not good bro🙁
248,학교 폭력이 저런거구나 힘들었겠어요
249,이제는 저도 나는 죽음이다
250,나빠쁘네ㅜ힘내세요<br>^^
251,너무슬퍼하게다ㅠㅠ
252,아닠ㅋㅋㅋㅋㅋㅋㅋ
253,ㅠㅠ
254,연기가쫌.....
255,생일인애도 일진이에여?
256,네
257,nii orang tkdee maruah kee apee?
258,なんて映画?ドラマですか?教えてくださいお願いしますm(_ _)m
259,恋するジェネレーションって言うドラマです！
260,이건진짜아니다
261,나같으면 죽ㅇ.....ㅈㅅ
262,야 너무 심해
263,이건 너무한거 아니냐고
264,シルンワンタ
265,너거매
266,흠 나도 왕따여서 슬프군
267,괴롭히는애 있으면 걍 패셈.
268,ㅇㅈ
269,"<a href=""https://youtu.be/t92AwudxJVE"">https://youtu.be/t92AwudxJVE</a><br>في حدا من عربنا يشاهده الإعجاز الدنيوي في سنة 2021"
270,@wasum 🌹🌹🌹
