,0
72275,경찰 왈 ㅡ 긴단한 사고에요 <br>  이게 사망1명에 중상 다수의 교통사고에 대한 경찰의 설명이란게 맞나싶네<br>기획사와 경찰간의 거래를 알아보는게 맞지않나?
72276,빡빡한 스캐줄로 소속사가 아까운 생명을 죽엿네
72277,잘생각해봐<br>기획사나<br>일용직 근로자 똥뗘처먹는 새키들이나<br>인신매매라는게 꼭 납치해서 팔아야 거시기가 아님<br>이세상 절반은 인신매매 속에서 사는거야
72278,"<a href=""https://www.youtube.com/watch?v=5xlPDyycgqY&amp;t=15m30s"">15:30</a> 저 코미디언  며칠 전  티비에 나왔는데..??"
72279,식구들은 뭐해 ᆢ죽여버려야지
72280,진짜 코메디네.....<br>법이 어떻고 저떻고.....<br>보험료 내준다고 보험금을 죽은사람과 상관없는 사람이 받는다는게 말이되나?<br>자...그럼 내가 니 사망보험료 내줄게 ...니 죽으면 보험금은 내가 가진다....<br>이거하고 머가 다르냐?  이거는 말이 된다고 생각합니까?<br>이거는 보험을  어떻게 계약을 적었던 무효 입니다.<br>그리고 그 소속사에서 내어준 보험료도 엄밀하게 말하면 소속사가 내준 돈이 아닙니다.<br>활동을 하던 소속 연예인들이 번 돈으로 보험료를 지불했다는게 맞으니까요.
72281,소속사들 다 나쁜ㅅㅋㄷ이네
72282,다른일을하지 명복을빕니다
72283,안따갑습니다.<br>고인의명복을빕니다
72284,아니 보험사도 이상하네 가족도 아닌데 소속사가 보험금을 왜 가져가나 한명 한명 죽으면 소속사가 보험금을 쳐먹는거야 와 진짜 어이없다
72285,진짜 인간으로 안 보거임 그져 돈으로 생각한것임 쓰레기시키들...
72286,@도츄 으
72287,좋은 일 많은 하루 보내십쇼
72288,뭐 미국도 과로사 같은걸 하면<br>회사가 돈버는 구조입니다<br>직원동의도 없이 보험들고<br>직원죽으면 회사에 이득
72289,@형진김 그거  잘 간직하고 있어라! 노예 계약서 원본. 증거물 1호다.
72290,소속사 새끼들 너희도 언젠가 천벌받아 너희도 뒤질꺼다
72291,심진화 인간성이 넘좋아요<br>언능  삼신할머니 예쁜아기하나점지해주세요♡
72292,소속사 대표보소 나쁜노무시키
72293,에고김형은씨<br>살아있음 45세이네요<br>한참재미날나이에 ㅠ 😢<br>돈에환장된 소속사놈들<br>천벌받아라 😭아 😢
72294,제작작자들 양아치중에서도양아치네ㅡ<br>앞으로살면서 되돌려 받아라 ㅡ
72295,"어지간들하네,,억울한죽음을 당한 부모님들은 생각도않하는건가?<br><br>제발 입장좀바꿔놓고 생각들좀하셔요<br><br>심진화good~"
72296,소속사가 스케줄을  너무 잘못잡았으니  시간이  안맞아 무리하게 운전했구먼.
72297,소속사넘들 천벌감이지..
72298,보는내내 너무열불이나네요 보험금갈취에 거짓진술에 합의금마저 일억에서  오천  ㅡㅡ 소속사힘들다고  이천오백 주고
72299,소속사가 무리한 스케이줄로 사망했는데 완전 범죄 집단 소속사는 엄벌로 처벌해야됩니다.
72300,소속사 사장은 진짜 대대로 망했으면 좋겠다 고통 꼭 똑같이 돌려받았으면.
