,0,1
0,-19.179502,-14.616597
1,-40.24852,-16.819965
2,23.618862,-33.55902
3,13.738192,39.750477
4,12.448126,40.82587
5,-42.934956,-9.798068
6,5.6405168,-26.047127
7,14.137113,-36.056664
8,26.213097,-34.011757
9,0.8721988,3.553985
10,14.890422,38.506554
11,-13.965266,-15.663157
12,-35.74148,-15.845339
13,0.02571374,54.118492
14,29.966696,-33.286625
15,33.38314,-2.4056895
16,-24.447615,-19.97177
17,29.371092,-31.36717
18,29.969242,-29.719963
19,-7.3349905,1.6897464
20,-37.157047,16.109358
21,15.209569,38.787144
22,32.148373,-30.98723
23,5.3905406,0.52705985
24,-12.254181,-7.1955647
25,25.737135,30.720854
26,15.289424,38.68283
27,-24.327581,-16.723984
28,31.36404,-0.37788984
29,16.461594,-35.42051
30,2.882454,1.1552268
31,35.858284,-17.415253
32,6.6805944,5.536635
33,19.246475,35.04283
34,19.24174,35.219723
35,2.9874659,54.531807
36,29.827908,-0.69167686
37,-42.40374,5.1958337
38,19.463697,35.941845
39,24.861856,-33.91511
40,7.8873243,46.537056
41,22.526083,4.2605467
42,20.950964,3.8188958
43,11.491356,41.80549
44,13.739992,-35.07044
45,-44.217773,-3.722236
46,34.015324,-25.837591
47,2.4131196,0.90427864
48,-2.3954215,-1.7824209
49,33.57975,-2.657363
50,7.7878776,-29.56578
51,6.840159,-28.464489
52,-45.146408,-5.1193085
53,-41.340244,6.8357773
54,36.5935,-20.674252
55,-40.838707,-11.862848
56,4.5674896,3.3693163
57,29.134455,2.2199473
58,23.619263,-35.843666
59,-18.057663,-16.48941
60,34.181717,-3.83752
61,11.318692,4.519019
62,28.687113,-28.428093
63,15.309523,38.531834
64,17.267836,1.702426
65,20.083393,35.602898
66,8.659756,5.932507
67,-6.346622,2.019998
68,-34.049015,21.279127
69,6.816051,52.895653
70,1.51332,0.36822093
71,-24.457668,-19.722586
72,-39.802357,-13.327615
73,27.341986,-3.063152
74,-31.47719,21.058279
75,-37.339592,-15.122478
76,-17.814367,-17.667995
77,36.3452,-21.476515
78,20.435648,3.5768826
79,22.277037,33.704433
80,1.5400726,4.949709
81,2.709448,4.0811753
82,35.68909,-19.602077
83,0.8336743,54.40481
84,25.985569,-0.8182144
85,27.638834,28.004793
86,18.057888,-36.67867
87,-16.320099,-16.473843
88,36.34015,-15.491819
89,-31.230806,-17.214052
90,-5.949215,-6.2184105
91,18.25258,37.701637
92,36.889038,-21.438395
93,19.49202,5.1974244
94,38.214706,-15.902285
95,-12.2518835,-8.907553
96,-1.8365065,-6.629248
97,-13.736205,-10.832535
98,35.614914,-20.294304
99,36.82991,-22.493107
100,16.705202,37.100838
101,9.401137,43.251472
102,-39.88435,12.939739
103,27.357239,28.346565
104,19.022505,36.701473
105,-7.0181,-3.2467523
106,35.80754,-21.820755
107,11.670595,-33.919895
108,36.691525,-13.191766
109,26.791542,-1.2030457
110,31.714914,-31.355616
111,26.307775,0.91973466
112,8.518651,-29.641258
113,2.6661339,5.4649334
114,28.245749,26.504925
115,13.639377,7.6241283
116,-42.481064,6.3998857
117,20.876663,34.811935
118,34.54453,-12.544118
119,-6.516701,-2.4474888
120,34.316616,-7.705462
121,28.79536,-32.532276
122,31.002281,-28.922226
123,31.767242,-29.484035
124,-0.5097351,1.8508837
125,-45.87348,-1.7012815
126,12.127486,41.017193
127,35.973515,-22.41609
128,30.220926,-0.12010468
129,-19.699995,-19.62696
130,-13.106362,-14.630814
131,-40.00896,-10.576289
132,4.6157084,47.82798
133,6.816063,52.895744
134,0.70099664,55.688904
135,21.999844,-35.11366
136,17.275356,3.2280505
137,-1.792305,3.323802
138,5.8951387,5.755683
139,-11.219712,-6.222198
140,20.411482,-35.654373
141,-37.86543,15.561132
142,29.64069,-31.81172
143,-25.701746,26.966177
144,13.064267,-34.82283
145,31.219648,-0.7949041
146,24.584333,33.439972
147,-44.01642,2.8807178
148,25.86642,-1.0636791
149,-35.612663,-15.240234
150,-44.292583,-10.965262
151,13.8123665,38.70759
152,6.201848,47.302708
153,-44.07196,3.9668512
154,-39.64919,-12.762225
155,-26.89991,25.688162
156,24.74276,31.237144
157,14.326566,5.291516
158,37.14953,-13.601946
159,5.7554784,48.114635
160,37.495037,-14.954578
161,-28.210543,-20.711683
162,10.201887,4.5384393
163,-29.134048,-21.487772
164,8.741567,-30.062914
165,7.5101886,-27.195578
166,6.851872,7.055143
167,15.479355,-36.453247
168,18.262117,-35.550392
169,35.3984,-21.066435
170,28.606728,23.068905
171,-40.933,8.440227
172,37.041767,-10.231662
173,-1.4100341,0.834559
174,27.932331,1.6079855
175,-11.753538,-5.8365083
176,9.861066,-31.885174
177,34.791515,-25.28675
178,21.921888,33.50229
179,-32.509293,19.74351
180,0.1344538,55.584095
181,-9.511778,-2.445883
182,26.091368,1.8827207
183,16.281858,39.149246
184,11.495074,6.030285
185,1.2834554,3.1025596
186,37.313694,-15.3146515
187,-13.641531,-12.357727
188,19.356352,37.11529
189,6.9753604,-30.882671
190,36.44293,-14.866872
191,-22.591278,-19.680042
192,31.150106,-8.075839
193,6.632635,-28.515144
194,-41.228954,-15.117723
195,-14.285116,-10.584717
196,16.577139,-36.621544
197,2.2903748,52.554665
198,7.1793375,48.155544
199,37.079426,-15.999684
200,30.916018,0.010236845
201,-32.65954,-19.792822
202,4.7669992,-25.680834
203,-25.785925,-18.39869
204,29.707264,-31.573338
205,-40.840225,-14.779417
206,-3.2726345,2.518946
207,-45.913845,-7.775188
208,0.36913386,1.5148693
209,-42.394806,-3.0886912
210,15.374508,38.601837
211,-43.388912,10.387544
212,26.99061,-34.2602
213,-45.393475,-0.044753414
214,-9.594857,-7.519769
215,35.254093,-14.803812
216,-27.491865,-21.875193
217,-44.54649,-4.927337
218,19.880669,-37.381603
219,19.781273,5.9116297
220,32.386593,-8.391148
221,7.153059,-29.74675
222,7.718253,48.912994
223,-46.134464,4.4590983
224,5.699689,50.966084
225,-30.773724,22.692806
226,-43.302223,-4.226129
227,-25.568449,-20.975569
228,12.508734,5.304456
229,-23.799654,29.069681
230,19.506006,1.1399391
231,-17.854256,-13.38148
232,-11.926321,-5.5391417
233,-40.73765,11.115289
234,-20.16727,33.274677
235,-18.188213,35.057896
236,23.779531,-33.24043
237,29.209091,-0.28053653
238,27.599874,30.278006
239,6.9594984,45.710457
240,-11.56695,-7.7960777
241,9.575219,0.97644955
242,26.009233,-34.764927
243,-12.697843,-13.888806
244,15.104813,37.239212
245,-40.333176,9.461086
246,-34.898106,18.365536
247,-36.124664,-19.538214
248,8.879774,-28.891409
249,19.659286,7.1240144
250,-46.050667,-2.004838
251,-41.12526,-13.229347
252,-20.205793,32.596622
253,-33.43381,-19.963894
254,-28.525457,25.897484
255,-45.420826,6.709664
256,-0.91728896,54.25982
257,6.476868,-26.679958
258,16.464956,-34.351902
259,23.652166,3.7116358
260,-17.919127,-14.924605
261,-2.6672413,0.1370716
262,13.263475,38.692245
263,26.339643,29.659721
264,29.663897,-31.06362
265,28.573162,25.061802
266,-37.297466,-15.49075
267,32.76276,-1.3571533
268,15.652541,0.46788883
269,31.1418,-29.50287
270,28.600132,25.384481
271,-33.46869,21.022131
272,12.261529,3.7267458
273,6.5841517,-27.678658
274,5.5916276,4.8741703
275,-10.0257,-8.350655
276,5.2170267,-25.317137
277,4.7460527,7.5693655
278,37.523502,-8.721537
279,-43.528152,-12.035234
280,-21.201363,-18.090235
281,-46.25797,-9.941382
282,-36.175373,-16.102453
283,-6.16244,-3.6107724
284,27.457685,-0.6327852
285,-34.13208,21.55744
286,31.093784,-2.667827
287,5.2677956,50.62646
288,1.6730009,53.29237
289,2.2452173,52.099663
290,10.7276325,42.17651
291,3.5112634,2.2103107
292,-5.9934497,-4.5957766
293,28.096352,-0.3521916
294,-25.844759,-19.499823
